dataset_name,overall_accuracy,dataset_num_items,dataset_total_chars,approximate_duplicates,avg_activation_sparsity,avg_grad_norm,avg_grad_sparsity,avg_input_length,avg_output_length,avg_param_change,base_model_perplexity,base_perplexity_std,catastrophic_forgetting,embedding_outlier_ratio,gradient_consistency,initial_loss,input_length_std,input_ttr,io_length_ratio,io_similarity,landscape_flatness,loss_decay_rate,loss_stability,output_length_std,output_ngram_repetition,output_ttr,reference_perplexity,reference_perplexity_std,semantic_consistency,semantic_diversity,special_char_ratio,vocab_complexity,learning_rate,batch_size
sample1,0.423477077,1881,2552865.749,0.45048321,0.318203252,0.099963293,0.396328094,56.09733539,65.77023973,6.602670342,20.09735857,3.787674059,0.541692214,0.449101352,0.330832033,4.145064569,116.5399424,0.938869035,1.158302147,0.263154321,0.577729851,0.95,0.480474538,86.26453203,0.437403099,0.866623066,25.03474509,3.570283834,6.34E-08,1.00271687,0.200796618,0.099644474,0.0003,32
sample2,0.674541406,500,2523159.976,0.03570583,0.637215267,0.097802784,0.069723277,59.97001041,65.88147643,6.529555049,12.46524335,0.679756722,0.526649293,0,0.748171478,3.826388948,103.4374901,0.940227642,0.945222213,0.234146495,0.788709214,0.719699808,0.813260328,87.44809273,0.021635944,0.883830959,5,1.544045281,8.94E-08,1.002751505,0.173228685,0.388778069,0.0002,16
sample3,0.394302288,4752,2679524.962,0.509419622,0.421410411,0.099346699,0.474160929,58.87991083,71.05822201,6.678094072,26.78360727,3.323633601,0.556629094,0.549752383,0.331941513,4.640261192,125.7942702,0.963574923,1.199498238,0.127076118,0.611611096,0.829284592,0.470166202,88.4169888,0.544874398,0.868363383,28.30321905,3.98753379,8.80E-08,1.002034118,0.189191928,0.125285095,0.0003,16
sample4,0.391918101,1655,3033166.769,0.41799222,0.408058118,0.09855444,0.451093309,56.11697809,64.96638029,6.84484357,30.99159065,3.248189895,0.532210998,0.671229705,0.250949718,4.799799383,137.4150548,0.948493518,1.187125837,0.144805977,0.539262065,0.720029649,0.525577779,84.75721989,0.432822893,0.868534144,20.98560796,3.992827205,6.92E-08,0.9980057,0.212384735,0,0.0002,32
sample5,0.295084458,4607,2674614.961,0.704287211,0.613119934,0.099558397,0.605774202,52.41215138,68.67442031,6.920694901,27.60265872,5.721460292,0.548071618,0.696544984,0.251486254,4.610189301,123.5082748,0.946176239,1.167870217,0,0.524643758,0.853131689,0.379170192,77.9198779,0.77056997,0.888294915,31.65152342,5.027321983,8.38E-08,0.992714988,0.176175392,0.150984735,0.0003,8
sample6,0.673009066,537,2888499.298,0,0.589760752,0.098042256,0.030093441,52.84329534,61.6165674,6.574622458,9.906077877,0.5847145,0.526497546,0.048310414,0.776044201,3.242055341,125.6202542,0.954365561,1.129401282,0.330256646,0.748939852,0.767940294,0.842372968,81.46802251,0,0.861986791,8.501328975,0.5,7.50E-08,0.99239753,0.174658834,0.168534099,0.0002,8
sample7,0.267018476,5483,3058479.082,0.612212234,0.664098154,0.100019018,0.75576248,53.75359108,65.00653704,6.806152309,35.6224416,4.447913816,0.540111807,0.761169613,0.037806401,5.168452441,140.0516777,0.932851847,1.117278631,0.173846609,0.47276814,0.657458282,0.311727026,85.19109469,0.741105685,0.859787137,36.79590877,6.161549215,7.86E-08,1.002027651,0.151453151,0.102256038,0.0002,16
sample8,0.274053453,5367,2683216.035,0.745168343,0.735382563,0.09919828,0.733388601,56.15441355,54.80930321,6.634201996,36.98154639,5.049490227,0.550910575,0.625858293,0.17251631,5.019788486,106.6529979,0.952852012,1.155665407,0.206562089,0.467169907,0.772437123,0.335019765,89.75145035,0.611925238,0.846504032,35.74146124,4.437437642,6.50E-08,0.994405083,0.167521904,0,0.0002,16
sample9,0.678601985,888,2629085.236,0.072853209,0.7082756,0.098577881,0.046595224,55.00178165,63.99544001,6.434528183,5,1.164855887,0.543512655,0.036684519,0.726867254,3.15572125,142.1747762,0.931252865,1.221154217,0.421740615,0.791407958,0.778569399,0.798819125,80.12776198,0.046939309,0.86607389,5.302335988,0.526319041,7.68E-08,0.998382754,0.105342787,0.395767545,0.0003,32
sample10,0.600805656,1254,2825127.476,0.221805376,0.642211778,0.097802784,0.220388789,55.28302252,63.18125533,6.36216269,10.50963244,2.07731145,0.537422979,0.18348943,0.692919473,3.15572125,126.5860212,0.931110792,1.250882126,0.254279754,0.711371602,0.755391254,0.805977267,84.14769603,0.235341361,0.888039571,11.4734287,1.28683656,5.66E-08,0.997974665,0.270333467,0.217971627,0.0003,16
sample11,0.622702534,1026,2793175.019,0.103614242,0.433885404,0.098166954,0.179785901,63.18051043,63.99851984,6.682717126,13.88786629,1.037760073,0.532574381,0.182222682,0.612617079,3.15572125,142.6378372,0.943240171,1.209697609,0.475764427,0.755999551,0.731639991,0.795881486,91.41584555,0.139176425,0.876063066,7.969833422,1.665638453,8.73E-08,1.002840103,0.180040449,0.387887127,0.0003,16
sample12,0.449503296,2355,2843960.396,0.38461201,0.9,0.098777076,0.274216271,54.77302255,65.85517788,6.808083791,21.35436943,4.280234054,0.533753423,0.47167989,0.471855001,3.895275059,128.8151409,0.940952898,0.999661171,0.284105766,0.608996807,0.775568007,0.546850386,92.49769626,0.456492373,0.843694719,23.2850797,2.99951533,8.05E-08,1.003360788,0.197951022,0.095464034,0.0003,8
sample13,0.661408631,932,2980464,0.033380414,0.665703787,0.09855197,0.046628842,58.45409082,70.62312462,6.466123566,5,0.926947939,0.540044417,0.056201188,0.672100057,3.15572125,168.9314364,0.943226775,1.208181047,0.474958549,0.798777783,0.864261342,0.857052024,120.2824757,0,0.868153442,12.36051024,1.457674068,6.68E-08,1.000000926,0.208601503,0.299144607,0.0002,8
sample14,0.312125867,4312,2721177.953,0.550685796,0.566794331,0.100753397,0.568583497,55.75331049,64.92794919,6.47130584,34.8342039,4.515561182,0.543447864,0.58473986,0.118919334,4.676394871,121.0696092,0.941059564,1.407565251,0.089474121,0.522041342,0.682398839,0.382787071,80.051029,0.560262594,0.883257274,32.6476205,4.844555893,4.73E-08,1.000713674,0.254395395,0.062266655,0.0002,16
sample15,0.672766969,703,2985920.762,0,0.511176316,0.09899736,0.035659305,57.66462369,64.85225024,6.853334226,5,1.464354747,0.541430395,0.05714865,0.766462388,4.092967385,127.5058983,0.955964985,1.154591086,0.555660836,0.796492648,0.860989705,0.8219027,89.08108291,0,0.854295761,5,1.704326762,8.92E-08,0.996586835,0.178128634,0.320197327,0.0003,16
sample16,0.571287666,961,2548621.807,0.276329607,0.492325749,0.099385489,0.237218173,52.82947374,71.6758741,6.708264655,15.44353061,2.305402906,0.53192128,0.160047218,0.4951298,4.314548207,136.2663747,0.935535149,1.381493909,0.247451574,0.704302978,0.730825758,0.685261912,75.51809836,0.229568416,0.862985267,8.27606603,1.755122781,7.63E-08,1.004195399,0.252284862,0.31706562,0.0003,16
sample17,0.2299,5723,2730099.303,0.632837991,0.516899463,0.099657564,0.753045197,58.92547691,55.75826449,6.166708789,31.5836531,6.10313514,0.555385007,0.777258658,0.08104957,4.761442936,117.2431673,0.943023512,1.441571232,0.063172766,0.487574833,0.824789634,0.284428856,88.30310693,0.605512442,0.875641404,36.29136936,6.115051403,7.34E-08,1.000171089,0.261569097,0.062606213,0.0003,8
sample18,0.545326582,1056,2788558.693,0.169085371,0.481828251,0.097802784,0.2650561,57.70565799,69.96389827,6.257490175,15.46844339,2.687397367,0.523698224,0.125226694,0.524174306,4.462701841,129.3603794,0.926760767,1.295678035,0.341069619,0.69152239,0.751086615,0.709315101,89.00233428,0.29421418,0.861391869,17.85985976,3.592450483,9.04E-08,1.00525717,0.205932824,0.215295542,0.0003,8
sample19,0.559451019,922,2765748.811,0.222523227,0.598690694,0.098414063,0.254434656,58.61670679,69.12687982,6.485330731,7.410138699,1.792946729,0.54855653,0.268326813,0.580376727,3.938515458,125.1942709,0.958112873,1.31590589,0.198920152,0.696585852,0.762092444,0.618329938,85.28366239,0.273423539,0.870015524,5,2.230781155,7.24E-08,1.006848455,0.172110153,0.263087132,0.0003,16
sample20,0.590173253,1226,2855865.933,0.190420854,0.796819982,0.098283853,0.129932466,51.86265083,65.06193153,6.573866509,11.39208175,0.963620651,0.542911257,0.237608613,0.716463277,3.410499184,123.7755301,0.944570212,1.366936255,0.490035314,0.700684899,0.727531946,0.73911519,87.22264239,0.129015568,0.881086779,15.98926226,2.142235125,7.89E-08,1.000101226,0.167192141,0.180901442,0.0002,32
